answer to Q1,answer to Q2,answer to Q3,answer to Q4,answer to Q5,respondent's age,respondent's gender,respondent's occupation
5,4,8,Difference-honoring,No,20,Female,Student 
2,1,10,Difference-denying,No,23,Male ,Engineer
7,3,8,Difference-denying,No,33,Male,Budget Analyst 
3,1,9,Difference-denying,No,19,Male,Student
3,1,9,Difference-denying,No,19,Male,Student
7,4,9,Difference-honoring,No,21,Non-binary,Student
3,7,6,Difference-denying,No,18,Female,Student
4,5,7,Difference-removing,No,20,Male,Student
1,1,9,Difference-denying,No,20,Male,Student 
2,1,10,Difference-denying,No,20,Female ,Student 
